Label,Tokens
0,"['stood', 'small', 'bottle', 'chablis', 'plate', 'almond', 'raisin', 'behind', 'table', 'seat', 'sat', 'dark-haired']"
2,"['warning', 'unto', 'monstrous', 'state', 'could', 'casca', 'name', 'thee', 'man', 'like', 'dreadful', 'night', 'thunder', 'lightens', 'open', 'graf']"
0,"['gripped', 'fear', 'quite', 'close', 'face', 'would', 'big', 'possible', 'would', 'scream']"
1,"['elevate', 'possible', 'claim', 'great', 'high', 'worldly', 'establishment', 'harriet', 'humble']"
0,"['remember', 'wisely', 'extorted', 'promise', 'tell', 'police', 'promise', 'shall', 'certainly', 'keep']"
1,"['neither', 'elevation', 'happiness', 'beyond', 'desert', 'poor', 'harriet', 'engrossing', 'charge', 'little', 'sympathy', 'spared', 'body']"
1,"['trouble', 'dear', 'child', 'time', 'drawing', 'near', 'april', 'june', 'say', 'even', 'july', 'near', 'business']"
2,"['street', 'complexion', 'element', 'favour', '’', 'like', 'work', 'hand', 'bloody', 'fiery', 'terrible', 'enter']"
0,"['labourer', 'locked', 'clerk', 'business', 'busted', 'last-trick', 'man', 'mental', 'endowment', 'high', 'public']"
2,"['gratis', 'gaoler', 'look', 'antonio', 'hear', 'yet', 'good', 'shylock', 'shylock', '’', 'bond', 'speak', 'bond', 'sworn']"
2,"['nerissa', 'pardon', 'gentle', 'gratiano', 'scrubbed', 'boy', 'doctor', '’', 'clerk', 'lieu', 'last', 'night', 'lie']"
0,"['three', 'said', 'three', 'hundred', 'could', 'still', 'done', 'nothing', 'three', 'hundred', 'four']"
2,"['bated', 'retired', 'flood', 'leaving', 'rankness', 'irregular', 'course', 'stoop', 'low', 'within', 'bound', '’', 'erlook', '’', 'calmly', 'run', 'obedience', 'even']"
1,"['proper', 'acquiescence', 'finding', 'nothing', 'entrapped', 'communication', 'mrs.', 'cole', 'turned', 'frank', 'churchill', 'smile']"
2,"['ground', 'distill', '’', 'magic', 'sleight', 'shall', 'raise', 'artificial', 'sprite', 'strength', 'illusion', 'shall', 'draw']"
1,"['time', 'latter', 'becoming', 'known', 'must', 'time', 'compared', 'oh']"
0,"['adder', 'weapon', 'shall', 'come', 'nowhere', 'shall', 'die', 'many', 'time', 'swallowed']"
1,"['pride', 'propriety', 'make', 'resolve', 'last', 'pay', 'respect', 'made', 'point', 'harriet', 'going']"
2,"['stand', 'back', 'lord', 'salisbury', 'stand', 'back', 'say', 'heaven', 'think', 'sword', '’', 'sharp', 'would', 'lord', 'forget']"
0,"['sent', 'away', 'standing', 'quite', 'still', 'middle', 'garden', 'oh', ""'ve"", 'read', 'lot', 'pale-faced', 'phantom', 'dark']"
2,"['lamentation', 'yet', 'wear', 'sake', 'marble', 'tear', 'washed', 'relents', 'isabella']"
1,"['woman', 'jane', 'fairfax', 'probably', 'never', 'fell', 'mrs.', 'elton', 'way', 'degree', 'vanity', 'prevent', 'acknowledging', 'comparative', 'littleness']"
0,"['one', 'would', 'think', 'fire', 'fire', 'asked', 'father', 'brown', 'gentle', 'suddenness', 'pointing', 'wood', 'left']"
2,"['put', 'thinking', 'loath', 'lay', 'finger', 'offered']"
2,"['jove', 'would', 'swear', 'juno', 'ethiope', 'deny', 'jove', 'turning', 'mortal', 'thy', 'love._', 'send', 'something', 'else']"
0,"['syme', 'saw', 'suddenly', 'straightened', 'made', 'sword-stick', 'involuntary', 'salute', 'knew', 'evil', 'figure', 'shadow']"
2,"['good', 'leisure', 'discredited', 'resolved', 'die', 'escalus', 'paid', 'heaven', 'function', 'prisoner']"
2,"['riveted', 'faith', 'unto', 'flesh', 'gave', 'love', 'ring', 'made', 'swear', 'never', 'part']"
0,"['made', 'sort', 'shuddering', 'veil', 'almost', 'recalling', 'dizziness', 'cinematograph', 'even', 'solid', 'figure', 'walking', 'syme', 'could', 'hardly', 'see']"
1,"['scheme', 'subsequent', 'consolation', 'happiness', 'recollection', 'harriet', 'word', 'clothed', 'beautiful', 'little', 'friend', 'suggested']"
0,"['made', 'like', 'said', 'syme', 'know', 'taking', 'nose', 'vain', 'know', 'right', 'enough', 'replied']"
1,"['sort', 'anxious', 'parade', 'mystery', 'fold', 'letter', 'apparently', 'reading', 'aloud', 'miss', 'fairfax', 'return']"
2,"['_exeunt', 'lord', 'attendants._', 'macbeth', 'blood', 'say', 'blood', 'blood', 'stone', 'known', 'move', 'tree']"
0,"['thief', 'carstairs', 'treasure', 'believe', 'brother', 'could', 'see', 'burned', 'like', 'witch', 'thing']"
0,"['mr', 'boulnois', 'said', 'priest', 'pleasant', 'prosaic', 'way', 'sha', 'interrupt', 'moment', 'fear', 'break']"
1,"['must', 'felt', 'difference', 'truth', 'harriet', 'playing', 'good', 'enough', 'praised', 'jane', 'fairfax', 'much']"
2,"['body', 'second', 'citizen', 'go', 'fetch', 'fire', 'third', 'citizen', 'pluck', 'bench', 'fourth', 'citizen', 'pluck', 'form', 'window', 'anything', '_exeunt', 'citizen', 'body._', 'antony']"
1,"['accidental', 'rencontre', 'dinner', 'mr.', 'green', 'party', 'mrs.', 'brown', 'smile', 'blush', 'rising', 'importance', 'consciousness', 'agitation', 'richly', 'scattered']"
0,"['new', 'lord', 'mayor', 'always', 'escorted', 'along', 'selecting', 'tentative', 'inquiry', 'old', 'professor', 'opposite', 'suddenly', 'simply', 'cut']"
1,"['little', 'inconvenience', 'may', 'apprehended', 'intimacy', 'expected', 'emma', 'accountable', 'nobody', 'father', 'perfectly', 'approves', 'acquaintance']"
1,"['could', 'supposed', 'mean', 'person', 'mr.', 'frank', 'churchill', 'indeed', 'know', 'would', 'ever', 'look']"
1,"['overcoming', 'hesitation', 'reasonable', 'prudence', 'might', 'originally', 'suggest', 'reasonable', 'becoming', 'degree', 'prudence', 'sure']"
0,"['man', 'science', 'picked', 'peculiar', 'dagger-sword', 'carpet', 'examining', 'intently', 'answered', 'find', 'mr', 'todhunter']"
0,"['ezza', 'gloomily', 'suggest', 'suspension', 'critique', 'banker', 'come', 'mr', 'harrogate', 'great', 'financier', 'indeed']"
0,"['dagger', 'month', 'drink', 'drink', 'good', 'enough', 'replied', 'cutler', ""'ll"", 'blood']"
2,"['satisfy', 'remembrance', 'strongly', 'lady', 'macbeth', 'damned', 'spot', 'say', 'one', 'two', '’', 'ti', 'time', '’', 'hell', 'murky']"
0,"['bright', 'square', 'labyrinth', 'lamp-lit', 'city', 'far', 'eye', 'could', 'see', 'ran', 'rifle', 'friend']"
0,"['heard', 'somewhere', 'ye', 'drink', 'cup', 'drink', 'men', 'book', 'awake', 'vision']"
2,"['minute', 'teems', 'new', 'one', 'macduff', 'wife', 'ross', 'well', 'macduff', 'child', 'ross', 'well', 'macduff', 'tyrant']"
1,"['evidently', 'displeased', 'looked', 'seeing', 'watched', 'blushed', 'deeply', 'ever', 'perceived', 'saying', 'know']"
0,"['something', 'reminds', 'u', 'something', 'yet', 'certain', 'something', 'different', 'father', 'brown', 'even', 'mystified', 'clever']"
1,"['possible', 'mrs.', 'weston', 'want', 'see', 'must', 'see', 'unwell', 'little', 'agitated']"
0,"['common', 'stature', 'costume', 'evident', 'exception', 'hairy', 'gogol', 'looked', 'others', 'began', 'see']"
0,"['faded', 'formless', 'night', 'mere', 'chaos', 'chiaroscuro', 'clear', 'daylight', 'outside', 'seemed', 'syme', 'perfect', 'symbol', 'world']"
0,"['matter', 'explained', 'pooh-poohed', 'panic', 'ex-marquis', 'altogether', 'said', 'solid', 'french', 'scepticism', 'conceivable']"
2,"['ay', 'since', 'murder', 'perform', '’', 'terrible', 'ear', 'time', 'brain', 'man']"
1,"['moment', 'regret', 'satisfaction', 'satisfaction', 'cheerful', 'enjoyment', 'apparent', 'emma', 'well']"
2,"['big', 'thief', 'thief', 'think', 'little', 'enough', 'every', 'true', 'man', '’', 'apparel', 'fit', 'thief', 'enter', 'provost', 'provost']"
1,"['favourable', 'idea', 'young', 'man', 'pleasing', 'attention', 'irresistible', 'proof', 'great', 'good', 'sense', 'welcome']"
1,"['harriet', 'smith', 'think', 'worst', 'sort', 'companion', 'emma', 'could', 'possibly', 'know', 'nothing', 'look', 'upon', 'emma']"
0,"['audrey', 'graver', 'person', 'morning', 'service', 'going', 'escort', 'relative', 'old', 'friend']"
1,"['fortunate', 'attitude', 'meant', 'throw', 'little', 'improvement', 'figure', 'give', 'little']"
1,"['even', 'encouraging', 'significant', 'glances.', 'kind-hearted', 'gentle', 'mrs.', 'weston', 'left', 'seat', 'join', 'say', 'dance', 'mr']"
0,"['quite', 'simply', 'yet', 'mean', 'saying', 'unjust', 'gentleman', 'duke', 'really', 'feel']"
0,"['victim', 'spot', 'faintest', 'tendency', 'evoke', 'ransom', 'quite', 'way', 'fact', 'harrogate', 'friend', 'would', 'far', 'likelier']"
2,"['roar', 'upon', 'death', 'macbeth', 'settled', 'bend', 'corporal', 'agent', 'terrible', 'feat', 'away', 'mock', 'time', 'fairest']"
0,"['mean', 'cried', 'flambeau', 'ca', 'afraid', 'little', 'hirsch', 'confound', 'cried', 'kind', 'rational', 'rage', 'nobody', 'could', 'afraid']"
2,"['’', 'born', 'woman', 'shall', '’', 'er', 'power', 'upon', 'thee.', '”', '—then', 'fly', 'false', 'thane', 'mingle', 'english', 'epicure', 'mind', 'sway']"
0,"['street', 'man', 'black', 'moustache', 'already', 'run', 'across', 'corner', 'cafe', 'sprung', 'one', 'table']"
0,"['three', 'men', 'said', 'professor', 'man', 'syme', 'nodded', 'silent', 'second', 'two', 'said', 'idea']"
0,"['never', 'said', 'could', 'wear', 'answered', 'said', 'hat', 'insist', 'shade', 'difference', 'hat']"
1,"['received', 'encouragement', 'give', 'encouragement', 'sir', 'entirely', 'mistaken', 'supposing', 'seen', 'admirer', 'friend']"
0,"['light', 'like', 'balloon', 'always', 'think', 'fat', 'people', 'heavy', 'could', 'danced', 'sylph', 'see']"
0,"['father', 'two', 'son', 'remained', 'bachelor', 'elder', 'brother', 'married', 'son', 'became', 'sailor', 'like', 'rest']"
1,"['much', 'otherwise', 'emma', 'would', 'interfere', 'unhappy', 'state', 'health', 'general', 'child', 'man']"
1,"['long', 'note', 'passage', 'mr.', 'elton', 'really', 'love', 'people', 'know']"
1,"['time.', 'fortnight', 'least', 'leisure', 'peace', 'mind', 'crown', 'every', 'warmer', 'agitating', 'delight', 'soon', 'resolved', 'equally']"
2,"['ii', 'field', 'two', 'camp', 'alarum', 'within', 'enter', 'drum', 'colour', 'lear', 'cordelia', 'force', 'exeunt', 'enter', 'edgar', 'gloucester']"
0,"['asked', 'staring', 'professor', 'afraid', 'said', 'syme', 'man', 'leave', 'universe', 'anything']"
2,"['great', 'import', 'indeed', 'too—but', 'let', 'pas', 'must', 'tell', 'thee', 'please', 'grace', 'world', 'sometime', 'lean']"
1,"['venturing', 'weather', 'course', 'saw', 'would', 'snow', 'soon', 'every', 'body', 'must', 'seen', 'snow', 'coming']"
0,"['leaned', 'sort', 'hunting-spear', 'across', 'theatre', 'looked', 'slight', 'silvery', 'wand', 'small', 'comparatively', 'crowded', 'room', 'looked']"
1,"['pleasant', 'walk', 'every', 'direction', 'left', 'always', 'chuse', 'highbury', 'airy', 'cheerful', 'happy-looking', 'highbury', 'would']"
2,"['third', 'possessor', 'ay', 'third', 'antonio', 'take', 'interest', 'shylock', 'take', 'interest', 'would']"
0,"['desk', 'outside', 'door', 'marked', 'committee', 'stopped', 'asked', 'see', 'lord', 'pooley', 'attendant', 'observed', 'lordship']"
0,"['ran', 'two', 'hundred', 'yard', 'one', 'wing', 'great', 'mansion', 'fortunately', 'split', 'place', 'specially']"
0,"['moonlight', 'discoloured', 'everything', 'dalroy', 'red', 'hair', 'wan', 'face', 'looked', 'much', 'white', 'pale', 'green', 'morbid', 'impressionism', 'must']"
1,"['deserved', 'often', 'negligent', 'perverse', 'slighting', 'advice', 'even', 'wilfully', 'opposing', 'insensible', 'half', 'merit', 'quarrelling']"
2,"['value', 'shall', 'write', 'time', 'concernings', 'shall', 'importune', 'go', 'u', 'look', 'know', 'doth']"
0,"['men', 'sworn', 'destroy', 'world', 'syme', 'strove', 'pull', 'together', 'common', 'sense', 'presence', 'sometimes', 'saw']"
0,"['curate', 'could', 'listened', 'pleasure', 'hear', 'hear', 'curate', 'loud', 'cheer', 'listen']"
1,"['going', 'observing', 'proposed', 'harriet', 'well', 'could', 'calculate', 'quite', 'safe', 'letter']"
1,"['ready', 'acknowledge', 'merit', 'man', 'hear', 'none', 'except', 'merely', 'personal', 'well-grown', 'good-looking']"
2,"['outlaw', '’', 'blood', 'sought', 'life', 'lately', 'late', 'lov', '’', 'friend', 'father', 'son', 'dearer', 'true', 'tell', 'thee']"
0,"['head', 'upon', 'bounding', 'body', 'still', 'pale', 'grave', 'professional', 'like', 'head', 'lecturer', 'upon', 'body', 'harlequin']"
1,"['fine', 'instrument', 'absolutely', 'thrown', 'away', 'like', 'giving', 'slap', 'sure', 'yesterday']"
2,"['take', 'follow', 'provision', 'give', 'thee', 'quick', 'conduct', 'kent', 'oppressed', 'nature', 'sleep', 'rest', 'might', 'yet', 'balm', '’', 'thy']"
0,"['first', 'time', 'something', 'troubled', 'prince', 'courage', 'diplomatic', 'sense', 'stood', 'firm', 'fear', 'met', 'said', 'since']"
0,"['civility', 'till', 'safe', 'round', 'cigar-box', 'cabin', 'yacht', 'saw', 'frustrated', 'fire', 'extinguished']"
2,"['calumny', 'whitest', 'virtue', 'strike', 'king', 'strong', 'tie', 'gall', 'slanderous', 'tongue', 'come', 'enter', 'escalus', 'provost']"
2,"['brown', 'bill', 'well', 'flown', 'bird', '’', 'clout', '’', 'clout', 'hewgh', 'give', 'word', 'edgar', 'sweet', 'marjoram', 'lear', 'pas', 'gloucester']"
2,"['divided', 'three', 'kingdom', '’', 'ti', 'fast', 'intent', 'shake', 'care', 'business', 'age', 'conferring', 'younger']"
0,"['named', 'bull', 'like', 'many', 'men', 'seem', 'mere', 'vivacious', 'vulgarity', 'sudden', 'movement', 'good', 'taste', 'certainly', 'saved']"
2,"['tripoli', 'another', 'indie', 'understand', 'moreover', 'upon', 'rialto', 'hath', 'third', 'mexico', 'fourth', 'england', 'venture']"
2,"['speak', 'word', 'may', 'call', 'back', 'well', 'believe', 'ceremony', 'great', 'one', 'longs', 'king', '’']"
1,"['miss', 'bates', 'loved', 'called', 'knew', 'considered', 'presumed', 'ever', 'see', 'imperfection']"
1,"['prefer', 'borrow', 'mrs.', 'cole', 'would', 'wish', 'every', 'thing', 'much', 'taste', 'possible']"
0,"['company', 'money', 'italy', 'actually', 'got', 'captured', 'sham', 'brigand', 'pay', 'explain', 'disappearance']"
1,"['small-sized', 'pembroke', 'two', 'daily', 'meal', 'forty', 'year', 'crowded', 'tea', 'passed', 'pleasantly', 'nobody', 'seemed', 'hurry']"
1,"['like', 'gown', 'like', 'trimming', 'wright', 'done', 'hair', 'many', 'relative', 'question', 'answered', 'patient', 'politeness', 'mrs.', 'elton']"
1,"['look', 'upon', 'quite', 'sort', 'man', 'altogether', 'build', 'upon', 'steadiness', 'constancy.']"
2,"['paper', 'let', 'read', 'strictest', 'decree', '’', 'write', 'name', 'king', 'well', 'yielding', 'rescue', 'thee', 'shame', 'berowne']"
2,"['cool', 'sight', '—where', 'gentleman', 'come', 'bring', '_exeunt._', 'scene', 'ii', 'fife', 'room', 'macduff', '’', 'castle', 'enter', 'lady']"
1,"['seclusion', 'must', 'amply', 'repaid', 'splendour', 'popularity', 'must', 'delighted', 'cole', 'worthy', 'people', 'deserved', 'made', 'happy', 'left']"
1,"['say', 'gone', 'necessary', 'emma', 'another', 'word', 'oppose', 'saw', 'entering']"
2,"['dare', 'venture', 'behalf', 'mistress', '’', 'command', '_giving', 'favour._', 'wear', 'spare', 'speech', 'decline', 'head', 'kiss']"
2,"['upon', 'thy', 'person', 'thy', 'heinous', 'manifest', 'many', 'treason', 'pledge', '_throwing', 'glove._', '’', 'make', 'thy', 'heart', 'ere']"
2,"['spirit', 'chased', 'enjoy', '’', 'like', 'younger', 'prodigal', 'scarfed', 'bark', 'put', 'native', 'bay', 'hugg', '’', 'embraced', 'strumpet']"
2,"['casca', 'crown', 'offer', '’', 'offer', '’', 'put', 'back', 'hand', 'thus']"
1,"['consideration', 'behaved', 'well', 'betrayed', 'emotion', 'cold', 'repast', 'party', 'go']"
